repayment_id,customer_id,loan_id,installment_no,due_date,paid_date,scheduled_amount,paid_amount,days_past_due,is_late_payment,is_default_event
3497,129,L00129_1,29,2024-12-29,2025-01-13,515,515,15,0,0
3498,129,L00129_1,30,2025-01-28,2025-02-01,149,149,4,0,0
3499,129,L00129_1,31,2025-02-27,2025-02-27,656,656,0,0,0
3500,129,L00129_1,32,2025-03-29,2025-03-29,328,328,0,0,0
3501,129,L00129_1,33,2025-04-28,2025-05-03,405,405,5,0,0
3502,129,L00129_1,34,2025-05-28,2025-05-28,817,817,0,0,0
3503,129,L00129_1,35,2025-06-27,2025-07-03,690,690,6,0,0
3504,129,L00129_1,36,2025-07-27,2025-08-11,773,773,15,0,0
3505,130,L00130_1,1,2021-04-08,2021-04-08,776,776,0,0,0
3506,130,L00130_1,2,2021-05-08,2021-05-08,668,668,0,0,0
3507,130,L00130_1,3,2021-06-07,2021-06-20,574,574,13,0,0
3508,130,L00130_1,4,2021-07-07,2021-07-12,789,789,5,0,0
3509,130,L00130_1,5,2021-08-06,2021-08-09,630,630,3,0,0
3510,130,L00130_1,6,2021-09-05,2021-09-07,900,900,2,0,0
3511,130,L00130_1,7,2021-10-05,2021-10-05,331,331,0,0,0
3512,130,L00130_1,8,2021-11-04,2021-11-19,481,481,15,0,0
3513,130,L00130_1,9,2021-12-04,2021-12-04,207,207,0,0,0
3514,130,L00130_1,10,2022-01-03,2022-01-21,484,484,18,1,0
3515,130,L00130_1,11,2022-02-02,2022-02-03,706,706,1,0,0
3516,130,L00130_1,12,2022-03-04,2022-03-19,615,615,15,0,0
3517,130,L00130_2,1,2021-08-30,2021-09-11,668,668,12,0,0
3518,130,L00130_2,2,2021-09-29,2021-10-09,150,150,10,0,0
3519,130,L00130_2,3,2021-10-29,2021-11-01,811,811,3,0,0
3520,130,L00130_2,4,2021-11-28,2021-11-28,395,395,0,0,0
3521,130,L00130_2,5,2021-12-28,2022-01-06,358,358,9,0,0
3522,130,L00130_2,6,2022-01-27,2022-02-02,110,110,6,0,0
3523,130,L00130_2,7,2022-02-26,2022-03-03,743,743,5,0,0
3524,130,L00130_2,8,2022-03-28,2022-03-28,246,246,0,0,0
3525,130,L00130_2,9,2022-04-27,2022-04-27,818,818,0,0,0
3526,130,L00130_2,10,2022-05-27,2022-05-27,574,574,0,0,0
3527,130,L00130_2,11,2022-06-26,2022-07-13,486,486,17,1,0
3528,130,L00130_2,12,2022-07-26,2022-07-26,818,818,0,0,0
3529,130,L00130_2,13,2022-08-25,2022-08-27,357,357,2,0,0
3530,130,L00130_2,14,2022-09-24,2022-10-07,455,455,13,0,0
3531,130,L00130_2,15,2022-10-24,2022-10-29,182,182,5,0,0
3532,130,L00130_2,16,2022-11-23,2022-12-19,608,608,26,1,0
3533,130,L00130_2,17,2022-12-23,2022-12-23,297,297,0,0,0
3534,130,L00130_2,18,2023-01-22,2023-01-22,282,282,0,0,0
3535,131,L00131_1,1,2022-10-09,2022-10-25,664,664,16,1,0
3536,131,L00131_1,2,2022-11-08,2022-11-08,480,480,0,0,0
3537,131,L00131_1,3,2022-12-08,2022-12-08,814,814,0,0,0
3538,131,L00131_1,4,2023-01-07,2023-01-07,600,600,0,0,0
3539,131,L00131_1,5,2023-02-06,2023-02-06,381,381,0,0,0
3540,131,L00131_1,6,2023-03-08,2023-03-11,767,767,3,0,0
3541,131,L00131_1,7,2023-04-07,2023-04-16,592,592,9,0,0
3542,131,L00131_1,8,2023-05-07,2023-05-07,197,197,0,0,0
3543,131,L00131_1,9,2023-06-06,2023-06-06,464,464,0,0,0
3544,131,L00131_1,10,2023-07-06,2023-07-27,886,886,21,1,0
3545,131,L00131_1,11,2023-08-05,2023-08-19,667,667,14,0,0
3546,131,L00131_1,12,2023-09-04,2023-09-18,725,725,14,0,0
3547,131,L00131_1,13,2023-10-04,2023-10-11,431,431,7,0,0
3548,131,L00131_1,14,2023-11-03,2023-11-03,882,882,0,0,0
3549,131,L00131_1,15,2023-12-03,2023-12-09,772,772,6,0,0
3550,131,L00131_1,16,2024-01-02,2024-01-10,854,854,8,0,0
3551,131,L00131_1,17,2024-02-01,2024-02-04,554,554,3,0,0
3552,131,L00131_1,18,2024-03-02,2024-03-08,138,138,6,0,0
3553,131,L00131_1,19,2024-04-01,2024-04-01,278,278,0,0,0
3554,131,L00131_1,20,2024-05-01,2024-05-01,306,306,0,0,0
3555,131,L00131_1,21,2024-05-31,2024-06-12,607,607,12,0,0
3556,131,L00131_1,22,2024-06-30,2024-06-30,768,768,0,0,0
3557,131,L00131_1,23,2024-07-30,2024-07-30,321,321,0,0,0
3558,131,L00131_1,24,2024-08-29,2024-09-05,854,854,7,0,0
3559,131,L00131_2,1,2021-03-19,2021-03-19,893,893,0,0,0
3560,131,L00131_2,2,2021-04-18,2021-05-15,719,719,27,1,0
3561,131,L00131_2,3,2021-05-18,2021-05-18,834,834,0,0,0
3562,131,L00131_2,4,2021-06-17,2021-06-29,506,506,12,0,0
3563,131,L00131_2,5,2021-07-17,2021-07-17,849,849,0,0,0
3564,131,L00131_2,6,2021-08-16,2021-08-16,510,510,0,0,0
3565,131,L00131_2,7,2021-09-15,2021-09-15,206,206,0,0,0
3566,131,L00131_2,8,2021-10-15,2021-10-25,159,159,10,0,0
3567,131,L00131_2,9,2021-11-14,2021-11-15,529,529,1,0,0
3568,131,L00131_2,10,2021-12-14,2021-12-14,549,549,0,0,0
3569,131,L00131_2,11,2022-01-13,2022-01-13,478,478,0,0,0
3570,131,L00131_2,12,2022-02-12,2022-02-12,694,694,0,0,0
3571,132,L00132_1,1,2022-10-25,2022-11-06,377,377,12,0,0
3572,132,L00132_1,2,2022-11-24,2022-12-06,851,851,12,0,0
3573,132,L00132_1,3,2022-12-24,2022-12-24,519,519,0,0,0
3574,132,L00132_1,4,2023-01-23,2023-01-23,667,667,0,0,0
3575,132,L00132_1,5,2023-02-22,2023-02-22,262,262,0,0,0
3576,132,L00132_1,6,2023-03-24,2023-04-01,603,603,8,0,0
3577,133,L00133_1,1,2021-04-02,2021-04-05,177,177,3,0,0
3578,133,L00133_1,2,2021-05-02,2021-05-14,277,277,12,0,0
3579,133,L00133_1,3,2021-06-01,2021-06-03,690,690,2,0,0
3580,133,L00133_1,4,2021-07-01,2021-07-01,576,576,0,0,0
3581,133,L00133_1,5,2021-07-31,2021-08-04,176,176,4,0,0
3582,133,L00133_1,6,2021-08-30,2021-08-30,248,248,0,0,0
3583,133,L00133_1,7,2021-09-29,2021-09-29,177,177,0,0,0
3584,133,L00133_1,8,2021-10-29,2021-10-29,193,193,0,0,0
3585,133,L00133_1,9,2021-11-28,2021-11-28,172,172,0,0,0
3586,133,L00133_1,10,2021-12-28,2021-12-28,181,181,0,0,0
3587,133,L00133_1,11,2022-01-27,2022-01-27,887,887,0,0,0
3588,133,L00133_1,12,2022-02-26,2022-03-01,620,620,3,0,0
3589,133,L00133_1,13,2022-03-28,2022-03-28,478,478,0,0,0
3590,133,L00133_1,14,2022-04-27,2022-04-27,509,509,0,0,0
3591,133,L00133_1,15,2022-05-27,2022-06-07,378,378,11,0,0
3592,133,L00133_1,16,2022-06-26,2022-06-26,721,721,0,0,0
3593,133,L00133_1,17,2022-07-26,2022-08-01,275,275,6,0,0
3594,133,L00133_1,18,2022-08-25,2022-08-25,450,450,0,0,0
3595,133,L00133_2,1,2023-01-08,2023-01-08,340,340,0,0,0
3596,133,L00133_2,2,2023-02-07,2023-02-09,659,659,2,0,0
3597,133,L00133_2,3,2023-03-09,2023-03-20,484,484,11,0,0
3598,133,L00133_2,4,2023-04-08,2023-04-20,164,164,12,0,0
3599,133,L00133_2,5,2023-05-08,2023-05-08,747,747,0,0,0
3600,133,L00133_2,6,2023-06-07,2023-06-07,479,479,0,0,0
3601,133,L00133_2,7,2023-07-07,2023-07-07,871,871,0,0,0
3602,133,L00133_2,8,2023-08-06,2023-08-19,546,546,13,0,0
3603,133,L00133_2,9,2023-09-05,2023-09-05,531,531,0,0,0
3604,133,L00133_2,10,2023-10-05,2023-10-22,495,495,17,1,0
3605,133,L00133_2,11,2023-11-04,2023-11-06,842,842,2,0,0
3606,133,L00133_2,12,2023-12-04,2023-12-10,188,188,6,0,0
3607,133,L00133_2,13,2024-01-03,2024-01-16,138,138,13,0,0
3608,133,L00133_2,14,2024-02-02,2024-02-18,687,687,16,1,0
3609,133,L00133_2,15,2024-03-03,2024-03-13,885,885,10,0,0
3610,133,L00133_2,16,2024-04-02,2024-04-09,325,325,7,0,0
3611,133,L00133_2,17,2024-05-02,2024-05-07,884,884,5,0,0
3612,133,L00133_2,18,2024-06-01,2024-06-10,308,308,9,0,0
3613,134,L00134_1,1,2021-03-11,2021-03-16,481,481,5,0,0
3614,134,L00134_1,2,2021-04-10,2021-04-10,699,699,0,0,0
3615,134,L00134_1,3,2021-05-10,2021-05-18,251,251,8,0,0
3616,134,L00134_1,4,2021-06-09,2021-06-09,739,739,0,0,0
3617,134,L00134_1,5,2021-07-09,2021-08-01,169,169,23,1,0
3618,134,L00134_1,6,2021-08-08,2021-08-10,896,896,2,0,0
3619,134,L00134_1,7,2021-09-07,2021-10-04,379,379,27,1,0
3620,134,L00134_1,8,2021-10-07,2021-10-20,676,676,13,0,0
3621,134,L00134_1,9,2021-11-06,2021-11-27,854,854,21,1,0
3622,134,L00134_1,10,2021-12-06,2021-12-06,297,297,0,0,0
3623,134,L00134_1,11,2022-01-05,2022-01-08,891,891,3,0,0
3624,134,L00134_1,12,2022-02-04,2022-02-18,493,493,14,0,0
3625,134,L00134_1,13,2022-03-06,2022-03-25,437,437,19,1,0
3626,134,L00134_1,14,2022-04-05,2022-04-08,827,827,3,0,0
3627,134,L00134_1,15,2022-05-05,2022-05-05,672,672,0,0,0
3628,134,L00134_1,16,2022-06-04,2022-06-26,636,636,22,1,0
3629,134,L00134_1,17,2022-07-04,2022-07-04,645,645,0,0,0
3630,134,L00134_1,18,2022-08-03,2022-08-03,502,502,0,0,0
3631,134,L00134_1,19,2022-09-02,2022-09-10,474,474,8,0,0
3632,134,L00134_1,20,2022-10-02,2022-10-14,522,522,12,0,0
3633,134,L00134_1,21,2022-11-01,2022-11-01,872,872,0,0,0
3634,134,L00134_1,22,2022-12-01,2022-12-01,303,303,0,0,0
3635,134,L00134_1,23,2022-12-31,2023-01-08,900,900,8,0,0
3636,134,L00134_1,24,2023-01-30,2023-02-09,491,491,10,0,0
3637,134,L00134_1,25,2023-03-01,2023-03-01,698,698,0,0,0
3638,134,L00134_1,26,2023-03-31,2023-04-13,513,513,13,0,0
3639,134,L00134_1,27,2023-04-30,2023-05-02,588,588,2,0,0
3640,134,L00134_1,28,2023-05-30,2023-06-05,850,850,6,0,0
3641,134,L00134_1,29,2023-06-29,2023-06-29,181,181,0,0,0
3642,134,L00134_1,30,2023-07-29,2023-07-31,123,123,2,0,0
3643,134,L00134_1,31,2023-08-28,2023-09-09,722,722,12,0,0
3644,134,L00134_1,32,2023-09-27,2023-09-27,705,705,0,0,0
3645,134,L00134_1,33,2023-10-27,2023-11-02,895,895,6,0,0
3646,134,L00134_1,34,2023-11-26,2023-11-29,676,676,3,0,0
3647,134,L00134_1,35,2023-12-26,2023-12-26,488,488,0,0,0
3648,134,L00134_1,36,2024-01-25,2024-01-26,292,292,1,0,0
3649,134,L00134_2,1,2023-04-01,2023-04-27,115,115,26,1,0
3650,134,L00134_2,2,2023-05-01,2023-05-29,802,802,28,1,0
3651,134,L00134_2,3,2023-05-31,2023-06-05,569,569,5,0,0
3652,134,L00134_2,4,2023-06-30,2023-07-01,566,566,1,0,0
3653,134,L00134_2,5,2023-07-30,2023-07-30,790,790,0,0,0
3654,134,L00134_2,6,2023-08-29,2023-08-29,677,677,0,0,0
3655,134,L00134_2,7,2023-09-28,2023-09-28,811,811,0,0,0
3656,134,L00134_2,8,2023-10-28,2023-11-06,578,578,9,0,0
3657,134,L00134_2,9,2023-11-27,2023-12-11,888,888,14,0,0
3658,134,L00134_2,10,2023-12-27,2023-12-27,168,168,0,0,0
3659,134,L00134_2,11,2024-01-26,2024-01-29,315,315,3,0,0
3660,134,L00134_2,12,2024-02-25,2024-02-28,843,843,3,0,0
3661,134,L00134_2,13,2024-03-26,2024-03-26,165,165,0,0,0
3662,134,L00134_2,14,2024-04-25,2024-04-26,858,858,1,0,0
3663,134,L00134_2,15,2024-05-25,2024-05-25,730,730,0,0,0
3664,134,L00134_2,16,2024-06-24,2024-06-29,892,892,5,0,0
3665,134,L00134_2,17,2024-07-24,2024-08-01,768,768,8,0,0
3666,134,L00134_2,18,2024-08-23,2024-09-12,350,350,20,1,0
3667,135,L00135_1,1,2021-04-01,2021-04-03,385,385,2,0,0
3668,135,L00135_1,2,2021-05-01,2021-05-01,744,744,0,0,0
3669,135,L00135_1,3,2021-05-31,2021-06-06,373,373,6,0,0
3670,135,L00135_1,4,2021-06-30,2021-07-06,370,370,6,0,0
3671,135,L00135_1,5,2021-07-30,2021-08-03,455,455,4,0,0
3672,135,L00135_1,6,2021-08-29,2021-08-29,347,347,0,0,0
3673,136,L00136_1,1,2022-12-10,2022-12-14,691,691,4,0,0
3674,136,L00136_1,2,2023-01-09,2023-01-22,561,561,13,0,0
3675,136,L00136_1,3,2023-02-08,2023-02-11,702,702,3,0,0
3676,136,L00136_1,4,2023-03-10,2023-03-11,900,900,1,0,0
3677,136,L00136_1,5,2023-04-09,2023-04-15,269,269,6,0,0
3678,136,L00136_1,6,2023-05-09,2023-05-09,317,317,0,0,0
3679,136,L00136_1,7,2023-06-08,2023-06-08,359,359,0,0,0
3680,136,L00136_1,8,2023-07-08,2023-07-08,432,432,0,0,0
3681,136,L00136_1,9,2023-08-07,2023-08-07,258,258,0,0,0
3682,136,L00136_1,10,2023-09-06,2023-09-06,344,344,0,0,0
3683,136,L00136_1,11,2023-10-06,2023-10-06,282,282,0,0,0
3684,136,L00136_1,12,2023-11-05,2023-11-05,721,721,0,0,0
3685,136,L00136_1,13,2023-12-05,2023-12-05,369,369,0,0,0
3686,136,L00136_1,14,2024-01-04,2024-01-04,464,464,0,0,0
3687,136,L00136_1,15,2024-02-03,2024-02-03,254,254,0,0,0
3688,136,L00136_1,16,2024-03-04,2024-03-08,415,415,4,0,0
3689,136,L00136_1,17,2024-04-03,2024-04-03,716,716,0,0,0
3690,136,L00136_1,18,2024-05-03,2024-05-03,303,303,0,0,0
3691,136,L00136_1,19,2024-06-02,2024-06-02,570,570,0,0,0
3692,136,L00136_1,20,2024-07-02,2024-07-02,136,136,0,0,0
3693,136,L00136_1,21,2024-08-01,2024-08-02,855,855,1,0,0
3694,136,L00136_1,22,2024-08-31,2024-08-31,618,618,0,0,0
3695,136,L00136_1,23,2024-09-30,2024-10-08,254,254,8,0,0
3696,136,L00136_1,24,2024-10-30,2024-10-30,526,526,0,0,0
3697,137,L00137_1,1,2022-01-28,2022-01-28,600,600,0,0,0
3698,137,L00137_1,2,2022-02-27,2022-02-27,126,126,0,0,0
3699,137,L00137_1,3,2022-03-29,2022-04-03,598,598,5,0,0
3700,137,L00137_1,4,2022-04-28,2022-04-30,459,459,2,0,0
3701,137,L00137_1,5,2022-05-28,2022-05-28,451,451,0,0,0
3702,137,L00137_1,6,2022-06-27,2022-07-02,715,715,5,0,0
3703,137,L00137_1,7,2022-07-27,2022-07-27,409,409,0,0,0
3704,137,L00137_1,8,2022-08-26,2022-08-29,886,886,3,0,0
3705,137,L00137_1,9,2022-09-25,2022-09-27,489,489,2,0,0
3706,137,L00137_1,10,2022-10-25,2022-10-25,350,350,0,0,0
3707,137,L00137_1,11,2022-11-24,2022-11-29,127,127,5,0,0
3708,137,L00137_1,12,2022-12-24,2022-12-24,387,387,0,0,0
3709,137,L00137_1,13,2023-01-23,2023-01-28,377,377,5,0,0
3710,137,L00137_1,14,2023-02-22,2023-02-22,143,143,0,0,0
3711,137,L00137_1,15,2023-03-24,2023-03-24,344,344,0,0,0
3712,137,L00137_1,16,2023-04-23,2023-04-23,196,196,0,0,0
3713,137,L00137_1,17,2023-05-23,2023-06-08,300,300,16,1,0
3714,137,L00137_1,18,2023-06-22,2023-07-11,151,151,19,1,0
3715,137,L00137_1,19,2023-07-22,2023-08-09,149,149,18,1,0
3716,137,L00137_1,20,2023-08-21,2023-08-21,732,732,0,0,0
3717,137,L00137_1,21,2023-09-20,2023-10-13,190,190,23,1,0
3718,137,L00137_1,22,2023-10-20,2023-10-28,536,536,8,0,0
3719,137,L00137_1,23,2023-11-19,2023-11-28,345,345,9,0,0
3720,137,L00137_1,24,2023-12-19,2023-12-20,716,716,1,0,0
3721,137,L00137_1,25,2024-01-18,2024-01-18,887,887,0,0,0
3722,137,L00137_1,26,2024-02-17,2024-02-27,179,179,10,0,0
3723,137,L00137_1,27,2024-03-18,2024-03-28,846,846,10,0,0
3724,137,L00137_1,28,2024-04-17,2024-04-17,682,682,0,0,0
3725,137,L00137_1,29,2024-05-17,2024-05-18,495,495,1,0,0
3726,137,L00137_1,30,2024-06-16,2024-06-25,298,298,9,0,0
3727,137,L00137_1,31,2024-07-16,2024-07-16,180,180,0,0,0
3728,137,L00137_1,32,2024-08-15,2024-08-15,171,171,0,0,0
3729,137,L00137_1,33,2024-09-14,2024-09-14,193,193,0,0,0
3730,137,L00137_1,34,2024-10-14,2024-10-20,140,140,6,0,0
3731,137,L00137_1,35,2024-11-13,2024-11-15,610,610,2,0,0
3732,137,L00137_1,36,2024-12-13,2024-12-13,418,418,0,0,0
3733,138,L00138_1,1,2023-02-25,2023-03-04,526,526,7,0,0
3734,138,L00138_1,2,2023-03-27,2023-03-28,442,442,1,0,0
3735,138,L00138_1,3,2023-04-26,2023-04-26,122,122,0,0,0
3736,138,L00138_1,4,2023-05-26,2023-05-28,745,745,2,0,0
3737,138,L00138_1,5,2023-06-25,2023-07-12,642,642,17,1,0
3738,138,L00138_1,6,2023-07-25,2023-07-25,672,672,0,0,0
3739,138,L00138_1,7,2023-08-24,2023-08-24,516,516,0,0,0
3740,138,L00138_1,8,2023-09-23,2023-09-23,661,661,0,0,0
3741,138,L00138_1,9,2023-10-23,2023-10-23,711,711,0,0,0
3742,138,L00138_1,10,2023-11-22,2023-11-22,373,373,0,0,0
3743,138,L00138_1,11,2023-12-22,2024-01-11,665,665,20,1,0
3744,138,L00138_1,12,2024-01-21,2024-01-21,684,684,0,0,0
3745,138,L00138_1,13,2024-02-20,2024-02-27,542,542,7,0,0
3746,138,L00138_1,14,2024-03-21,2024-04-08,496,496,18,1,0
3747,138,L00138_1,15,2024-04-20,2024-04-23,217,217,3,0,0
3748,138,L00138_1,16,2024-05-20,2024-06-12,872,872,23,1,0
3749,138,L00138_1,17,2024-06-19,2024-07-01,496,496,12,0,0
3750,138,L00138_1,18,2024-07-19,2024-07-29,494,494,10,0,0
3751,138,L00138_2,1,2022-12-16,2022-12-16,381,381,0,0,0
3752,138,L00138_2,2,2023-01-15,2023-01-15,395,395,0,0,0
3753,138,L00138_2,3,2023-02-14,2023-02-23,713,713,9,0,0
3754,138,L00138_2,4,2023-03-16,2023-03-16,163,163,0,0,0
3755,138,L00138_2,5,2023-04-15,2023-04-25,829,829,10,0,0
3756,138,L00138_2,6,2023-05-15,2023-05-15,499,499,0,0,0
3757,139,L00139_1,1,2021-10-16,2021-10-26,395,395,10,0,0
3758,139,L00139_1,2,2021-11-15,2021-11-26,216,216,11,0,0
3759,139,L00139_1,3,2021-12-15,2021-12-15,635,635,0,0,0
3760,139,L00139_1,4,2022-01-14,2022-02-11,493,493,28,1,0
3761,139,L00139_1,5,2022-02-13,2022-02-13,303,303,0,0,0
3762,139,L00139_1,6,2022-03-15,2022-03-15,829,829,0,0,0
3763,139,L00139_1,7,2022-04-14,2022-05-04,816,816,20,1,0
3764,139,L00139_1,8,2022-05-14,2022-06-06,724,724,23,1,0
3765,139,L00139_1,9,2022-06-13,2022-06-13,313,313,0,0,0
3766,139,L00139_1,10,2022-07-13,2022-07-13,586,586,0,0,0
3767,139,L00139_1,11,2022-08-12,2022-08-12,820,820,0,0,0
3768,139,L00139_1,12,2022-09-11,2022-09-11,629,629,0,0,0
3769,139,L00139_1,13,2022-10-11,2022-10-16,837,837,5,0,0
3770,139,L00139_1,14,2022-11-10,2022-11-12,817,817,2,0,0
3771,139,L00139_1,15,2022-12-10,2022-12-21,193,193,11,0,0
3772,139,L00139_1,16,2023-01-09,2023-01-12,585,585,3,0,0
3773,139,L00139_1,17,2023-02-08,2023-02-08,774,774,0,0,0
3774,139,L00139_1,18,2023-03-10,2023-03-10,210,210,0,0,0
3775,140,L00140_1,1,2021-04-24,2021-04-27,402,402,3,0,0
3776,140,L00140_1,2,2021-05-24,2021-06-01,440,440,8,0,0
3777,140,L00140_1,3,2021-06-23,2021-07-04,104,104,11,0,0
3778,140,L00140_1,4,2021-07-23,2021-07-28,776,776,5,0,0
3779,140,L00140_1,5,2021-08-22,2021-08-22,589,589,0,0,0
3780,140,L00140_1,6,2021-09-21,2021-09-25,624,624,4,0,0
3781,140,L00140_1,7,2021-10-21,2021-11-07,861,861,17,1,0
3782,140,L00140_1,8,2021-11-20,2021-11-21,627,627,1,0,0
3783,140,L00140_1,9,2021-12-20,2021-12-22,438,438,2,0,0
3784,140,L00140_1,10,2022-01-19,2022-01-21,306,306,2,0,0
3785,140,L00140_1,11,2022-02-18,2022-03-07,650,650,17,1,0
3786,140,L00140_1,12,2022-03-20,2022-03-20,517,517,0,0,0
3787,140,L00140_2,1,2021-03-18,2021-04-01,534,534,14,0,0
3788,140,L00140_2,2,2021-04-17,2021-04-17,330,330,0,0,0
3789,140,L00140_2,3,2021-05-17,2021-05-30,795,795,13,0,0
3790,140,L00140_2,4,2021-06-16,2021-06-16,521,521,0,0,0
3791,140,L00140_2,5,2021-07-16,2021-07-28,409,409,12,0,0
3792,140,L00140_2,6,2021-08-15,2021-08-16,560,560,1,0,0
3793,140,L00140_2,7,2021-09-14,2021-09-25,196,196,11,0,0
3794,140,L00140_2,8,2021-10-14,2021-10-15,848,848,1,0,0
3795,140,L00140_2,9,2021-11-13,2021-11-13,180,180,0,0,0
3796,140,L00140_2,10,2021-12-13,2021-12-23,863,863,10,0,0
3797,140,L00140_2,11,2022-01-12,2022-01-30,781,781,18,1,0
3798,140,L00140_2,12,2022-02-11,2022-02-24,735,735,13,0,0
3799,140,L00140_2,13,2022-03-13,2022-03-13,509,509,0,0,0
3800,140,L00140_2,14,2022-04-12,2022-04-22,804,804,10,0,0
3801,140,L00140_2,15,2022-05-12,2022-05-12,854,854,0,0,0
3802,140,L00140_2,16,2022-06-11,2022-07-02,659,659,21,1,0
3803,140,L00140_2,17,2022-07-11,2022-07-11,597,597,0,0,0
3804,140,L00140_2,18,2022-08-10,2022-08-22,274,274,12,0,0
3805,140,L00140_2,19,2022-09-09,2022-09-09,142,142,0,0,0
3806,140,L00140_2,20,2022-10-09,2022-10-09,767,767,0,0,0
3807,140,L00140_2,21,2022-11-08,2022-11-19,704,704,11,0,0
3808,140,L00140_2,22,2022-12-08,2023-01-01,117,117,24,1,0
3809,140,L00140_2,23,2023-01-07,2023-01-07,666,666,0,0,0
3810,140,L00140_2,24,2023-02-06,2023-02-06,563,563,0,0,0
3811,141,L00141_1,1,2022-01-26,2022-01-26,787,787,0,0,0
3812,141,L00141_1,2,2022-02-25,2022-03-13,240,240,16,1,0
3813,141,L00141_1,3,2022-03-27,2022-03-29,892,892,2,0,0
3814,141,L00141_1,4,2022-04-26,2022-04-29,276,276,3,0,0
3815,141,L00141_1,5,2022-05-26,2022-06-09,484,484,14,0,0
3816,141,L00141_1,6,2022-06-25,2022-06-25,657,657,0,0,0
3817,141,L00141_1,7,2022-07-25,2022-07-25,867,867,0,0,0
3818,141,L00141_1,8,2022-08-24,2022-09-03,212,212,10,0,0
3819,141,L00141_1,9,2022-09-23,2022-09-30,563,563,7,0,0
3820,141,L00141_1,10,2022-10-23,2022-10-27,409,409,4,0,0
3821,141,L00141_1,11,2022-11-22,2022-11-22,368,368,0,0,0
3822,141,L00141_1,12,2022-12-22,2022-12-22,723,723,0,0,0
3823,141,L00141_1,13,2023-01-21,2023-01-21,510,510,0,0,0
3824,141,L00141_1,14,2023-02-20,2023-02-20,168,168,0,0,0
3825,141,L00141_1,15,2023-03-22,2023-03-22,145,145,0,0,0
3826,141,L00141_1,16,2023-04-21,2023-04-27,250,250,6,0,0
3827,141,L00141_1,17,2023-05-21,2023-05-21,534,534,0,0,0
3828,141,L00141_1,18,2023-06-20,2023-06-20,272,272,0,0,0
3829,141,L00141_1,19,2023-07-20,2023-07-26,890,890,6,0,0
3830,141,L00141_1,20,2023-08-19,2023-08-19,496,496,0,0,0
3831,141,L00141_1,21,2023-09-18,2023-09-18,511,511,0,0,0
3832,141,L00141_1,22,2023-10-18,2023-10-19,141,141,1,0,0
3833,141,L00141_1,23,2023-11-17,2023-11-17,549,549,0,0,0
3834,141,L00141_1,24,2023-12-17,2023-12-17,302,302,0,0,0
3835,141,L00141_1,25,2024-01-16,2024-01-16,249,249,0,0,0
3836,141,L00141_1,26,2024-02-15,2024-02-15,188,188,0,0,0
3837,141,L00141_1,27,2024-03-16,2024-03-26,505,505,10,0,0
3838,141,L00141_1,28,2024-04-15,2024-04-15,148,148,0,0,0
3839,141,L00141_1,29,2024-05-15,2024-05-23,198,198,8,0,0
3840,141,L00141_1,30,2024-06-14,2024-06-14,745,745,0,0,0
3841,141,L00141_1,31,2024-07-14,2024-07-26,575,575,12,0,0
3842,141,L00141_1,32,2024-08-13,2024-08-13,209,209,0,0,0
3843,141,L00141_1,33,2024-09-12,2024-09-18,837,837,6,0,0
3844,141,L00141_1,34,2024-10-12,2024-10-12,364,364,0,0,0
3845,141,L00141_1,35,2024-11-11,2024-11-25,325,325,14,0,0
3846,141,L00141_1,36,2024-12-11,2024-12-11,787,787,0,0,0
3847,141,L00141_2,1,2023-03-03,2023-03-04,722,722,1,0,0
3848,141,L00141_2,2,2023-04-02,2023-04-16,475,475,14,0,0
3849,141,L00141_2,3,2023-05-02,2023-05-18,304,304,16,1,0
3850,141,L00141_2,4,2023-06-01,2023-06-06,275,275,5,0,0
3851,141,L00141_2,5,2023-07-01,2023-07-01,863,863,0,0,0
3852,141,L00141_2,6,2023-07-31,2023-07-31,566,566,0,0,0
3853,141,L00141_2,7,2023-08-30,2023-09-11,215,215,12,0,0
3854,141,L00141_2,8,2023-09-29,2023-10-11,845,845,12,0,0
3855,141,L00141_2,9,2023-10-29,2023-10-29,769,769,0,0,0
3856,141,L00141_2,10,2023-11-28,2023-11-28,502,502,0,0,0
3857,141,L00141_2,11,2023-12-28,2023-12-28,794,794,0,0,0
3858,141,L00141_2,12,2024-01-27,2024-02-12,678,678,16,1,0
3859,141,L00141_2,13,2024-02-26,2024-03-03,845,845,6,0,0
3860,141,L00141_2,14,2024-03-27,2024-03-27,176,176,0,0,0
3861,141,L00141_2,15,2024-04-26,2024-05-02,523,523,6,0,0
3862,141,L00141_2,16,2024-05-26,2024-06-03,731,731,8,0,0
3863,141,L00141_2,17,2024-06-25,2024-07-07,492,492,12,0,0
3864,141,L00141_2,18,2024-07-25,2024-07-27,435,435,2,0,0
3865,141,L00141_2,19,2024-08-24,2024-08-24,214,214,0,0,0
3866,141,L00141_2,20,2024-09-23,2024-10-03,743,743,10,0,0
3867,141,L00141_2,21,2024-10-23,2024-11-08,734,734,16,1,0
3868,141,L00141_2,22,2024-11-22,2024-12-16,797,797,24,1,0
3869,141,L00141_2,23,2024-12-22,2024-12-29,866,866,7,0,0
3870,141,L00141_2,24,2025-01-21,2025-01-21,258,258,0,0,0
3871,142,L00142_1,1,2022-09-21,2022-09-24,162,162,3,0,0
3872,142,L00142_1,2,2022-10-21,2022-10-28,731,731,7,0,0
